sample_name,type,TP,FP,FN,RECALL,PRECISION
A10,SNP,40387,7109,2214,0.948,0.85
A11,SNP,40489,7183,2112,0.95,0.849
A12,SNP,40466,7127,2135,0.95,0.85
D10,SNP,40947,6815,2511,0.942,0.857
D11,SNP,40904,6824,2554,0.941,0.857
D12,SNP,40930,6835,2528,0.942,0.857
E10,SNP,39994,6434,2816,0.934,0.861
E11,SNP,40014,6637,2796,0.935,0.858
E12,SNP,40035,6593,2775,0.935,0.859
F10,SNP,38969,7591,2834,0.932,0.837
F11,SNP,39020,7622,2783,0.933,0.837
F12,SNP,39111,7629,2692,0.936,0.837
G10,SNP,38594,7785,2471,0.94,0.832
G11,SNP,38522,7928,2543,0.938,0.829
G12,SNP,38589,7767,2476,0.94,0.832
H10,SNP,40281,7362,2675,0.938,0.845
H11,SNP,40341,7410,2615,0.939,0.845
H12,SNP,40256,7242,2700,0.937,0.848
