Total discordant reads:	4103206
Chromosome distribution:
1699259 chr2
 230281 chr4
 174091 chr5
 173530 chr1
 164363 chr10
 154283 chr17
 143611 chr3
 111855 chrY
 107739 chr6
 102881 chr7
  98373 chrX
  97352 chr16
  92903 chr8
  85492 chr12
  85237 chr9
  84578 chr11
  80560 chr21
  71712 chr20
  64437 chr18
  62643 chr13
  61164 chr14
  55317 chr15
  47100 chr19
  43499 chr22
  10946 chrM
Inter-chromosomal mapping:
 122305 chr2 chr1
 122305 chr1 chr2
 107326 chr3 chr2
 107326 chr2 chr3
 106791 chr4 chr2
 106791 chr2 chr4
  99261 chr5 chr2
  99261 chr2 chr5
  91397 chr6 chr2
  91397 chr2 chr6
  82420 chrX chr2
  82420 chr2 chrX
  81826 chr7 chr2
  81826 chr2 chr7
  77485 chr8 chr2
  77485 chr2 chr8
  72409 chr2 chr10
  72409 chr10 chr2
  70383 chr2 chr11
  70383 chr11 chr2
  69272 chr2 chr12
  69272 chr12 chr2
  65208 chr9 chr2
  65208 chr2 chr9
  51824 chr2 chr13
  51824 chr13 chr2
  47274 chr2 chr14
  47274 chr14 chr2
  43402 chr2 chr15
  43402 chr15 chr2
  41094 chr2 chr16
  41094 chr16 chr2
  41058 chr2 chr18
  41058 chr18 chr2
  39919 chr2 chr17
  39919 chr17 chr2
  34309 chr2 chr20
  34309 chr20 chr2
  26499 chr2 chr21
  26499 chr21 chr2
  24372 chr2 chr19
  24372 chr19 chr2
  19941 chr2 chr22
  19941 chr22 chr2
  14398 chrY chr10
  14398 chr10 chrY
  13729 chrY chr4
  13729 chr4 chrY
  13558 chr5 chr4
  13558 chr4 chr5
  13558 chr4 chr10
  13558 chr10 chr4
  11854 chr17 chr10
  11854 chr10 chr17
  10787 chrY chr17
  10787 chr17 chrY
   9821 chr21 chr17
   9821 chr17 chr21
   8701 chrY chr21
   8701 chr21 chrY
   6654 chr21 chr10
   6654 chr10 chr21
   5696 chr5 chr10
   5696 chr10 chr5
   5619 chrY chr18
   5619 chr18 chrY
   5490 chrM chr2
   5490 chr2 chrM
   5392 chr5 chr19
   5392 chr19 chr5
   5303 chr4 chr20
   5303 chr20 chr4
   5229 chr5 chr1
   5229 chr1 chr5
   4938 chrY chr5
   4938 chr5 chrY
   4843 chr1 chr19
   4843 chr19 chr1
   4727 chr4 chr17
   4727 chr17 chr4
   4512 chrY chr2
   4512 chr2 chrY
   4092 chrY chr20
   4092 chr20 chrY
   3105 chr4 chr18
   3105 chr18 chr4
   2874 chr18 chr10
   2874 chr10 chr18
   2778 chr20 chr10
   2778 chr10 chr20
   2726 chr8 chr4
   2726 chr4 chr8
   2670 chrY chr16
   2670 chr16 chrY
